model_name,simulation_name,setting_name,measurements,observations,observations_test,basis_functions,noise,snr,seed,λ,λ_group,M
l0,5_predictors,default,50,150,100,5,false,100,1,0,0,3.55
l0,5_predictors,default,50,150,100,5,false,100,2,0,0,3.55
l0,5_predictors,default,50,150,100,5,false,100,3,0,0,3.55
l0,5_predictors,default,50,400,350,6,false,100,1,0,0,3.55
l0,5_predictors,default,50,400,350,6,false,100,2,0,0,3.55
l0,5_predictors,default,50,400,350,6,false,100,3,0,0,3.55
l0,5_predictors,default,50,1000,350,6,false,100,1,0,0,3.55
l0,5_predictors,default,50,1000,350,6,false,100,2,0,0,3.55
l0,5_predictors,default,50,1000,350,6,false,100,3,0,0,3.55
l0,5_predictors,absolute_diff_cov,50,150,100,5,false,100,1,0,0,4
l0,5_predictors,absolute_diff_cov,50,150,100,5,false,100,2,0,0,4
l0,5_predictors,absolute_diff_cov,50,150,100,5,false,100,3,0,0,4
l0,5_predictors,absolute_diff_cov,50,400,350,6,false,100,1,0,0,4
l0,5_predictors,absolute_diff_cov,50,400,350,6,false,100,2,0,0,4
l0,5_predictors,absolute_diff_cov,50,400,350,6,false,100,3,0,0,4
l0,5_predictors,absolute_diff_cov,50,1000,350,6,false,100,1,0,0,4
l0,5_predictors,absolute_diff_cov,50,1000,350,6,false,100,2,0,0,4
l0,5_predictors,absolute_diff_cov,50,1000,350,6,false,100,3,0,0,4
l0,5_predictors,cov_variant,50,150,100,5,false,100,1,0,0,4
l0,5_predictors,cov_variant,50,150,100,5,false,100,2,0,0,4
l0,5_predictors,cov_variant,50,150,100,5,false,100,3,0,0,4
l0,5_predictors,cov_variant,50,400,350,6,false,100,1,0,0,4
l0,5_predictors,cov_variant,50,400,350,6,false,100,2,0,0,4
l0,5_predictors,cov_variant,50,400,350,6,false,100,3,0,0,4
l0,5_predictors,cov_variant,50,1000,350,6,false,100,1,0,0,4
l0,5_predictors,cov_variant,50,1000,350,6,false,100,2,0,0,4
l0,5_predictors,cov_variant,50,1000,350,6,false,100,3,0,0,4
l0,paper,with_modulation_simplified,50,150,150,6,true,100,1,0,0,1.068
l0,paper,with_modulation_simplified,50,150,150,6,true,100,2,0,0,1.068
l0,paper,with_modulation_simplified,50,150,150,6,true,100,3,0,0,1.068
l0,paper,with_modulation_simplified,50,400,150,6,true,100,1,0,0,1.068
l0,paper,with_modulation_simplified,50,400,150,6,true,100,2,0,0,1.068
l0,paper,with_modulation_simplified,50,400,150,6,true,100,3,0,0,1.068
l0,paper,with_modulation_simplified,50,1000,150,6,true,100,1,0,0,1.068
l0,paper,with_modulation_simplified,50,1000,150,6,true,100,2,0,0,1.068
l0,paper,with_modulation_simplified,50,1000,150,6,true,100,3,0,0,1.068
l0,paper,with_modulation_simplified,50,150,150,4,true,100,1,0,0,1.27187
l0,paper,with_modulation_simplified,50,150,150,4,true,100,2,0,0,1.27187
